country,year,continent,variable,value
Albania,1972,Europe,pop,2263554
Albania,1972,Europe,lifeExp,67.69
Albania,1972,Europe,gdpPercap,3313.422188
Albania,1977,Europe,pop,2509048
Albania,1977,Europe,lifeExp,68.93
Albania,1977,Europe,gdpPercap,3533.00391
Albania,1982,Europe,pop,2780097
Albania,1982,Europe,lifeExp,70.42
Albania,1982,Europe,gdpPercap,3630.880722
Albania,1987,Europe,pop,3075321
Albania,1987,Europe,lifeExp,72
Albania,1987,Europe,gdpPercap,3738.932735
Albania,1992,Europe,pop,3326498
Albania,1992,Europe,lifeExp,71.581
Albania,1992,Europe,gdpPercap,2497.437901
Albania,1997,Europe,pop,3428038
Albania,1997,Europe,lifeExp,72.95
Albania,1997,Europe,gdpPercap,3193.054604
Albania,2002,Europe,pop,3508512
Albania,2002,Europe,lifeExp,75.651
Albania,2002,Europe,gdpPercap,4604.211737
Albania,2007,Europe,pop,3600523
Albania,2007,Europe,lifeExp,76.423
Albania,2007,Europe,gdpPercap,5937.029526
Algeria,1952,Africa,pop,9279525
Algeria,1952,Africa,lifeExp,43.077
Algeria,1952,Africa,gdpPercap,2449.008185
Algeria,1957,Africa,pop,10270856
Algeria,1957,Africa,lifeExp,45.685
Algeria,1957,Africa,gdpPercap,3013.976023
Algeria,1962,Africa,pop,11000948
Algeria,1962,Africa,lifeExp,48.303
Algeria,1962,Africa,gdpPercap,2550.81688
Algeria,1967,Africa,pop,12760499
Algeria,1967,Africa,lifeExp,51.407
Algeria,1967,Africa,gdpPercap,3246.991771
Algeria,1972,Africa,pop,14760787
Algeria,1972,Africa,lifeExp,54.518
Algeria,1972,Africa,gdpPercap,4182.663766
Algeria,1977,Africa,pop,17152804
Algeria,1977,Africa,lifeExp,58.014
Algeria,1977,Africa,gdpPercap,4910.416756
Algeria,1982,Africa,pop,20033753
Algeria,1982,Africa,lifeExp,61.368
Algeria,1982,Africa,gdpPercap,5745.160213
Algeria,1987,Africa,pop,23254956
Algeria,1987,Africa,lifeExp,65.799
Algeria,1987,Africa,gdpPercap,5681.358539
Algeria,1992,Africa,pop,26298373
Algeria,1992,Africa,lifeExp,67.744
Algeria,1992,Africa,gdpPercap,5023.216647
Algeria,1997,Africa,pop,29072015
Algeria,1997,Africa,lifeExp,69.152
Algeria,1997,Africa,gdpPercap,4797.295051
Algeria,2002,Africa,pop,31287142
Algeria,2002,Africa,lifeExp,70.994
Algeria,2002,Africa,gdpPercap,5288.040382
Algeria,2007,Africa,pop,33333216
Algeria,2007,Africa,lifeExp,72.301
Algeria,2007,Africa,gdpPercap,6223.367465
Angola,1952,Africa,pop,4232095
Angola,1952,Africa,lifeExp,30.015
Angola,1952,Africa,gdpPercap,3520.610273
Angola,1957,Africa,pop,4561361
Angola,1957,Africa,lifeExp,31.999
Angola,1957,Africa,gdpPercap,3827.940465
Angola,1962,Africa,pop,4826015
Angola,1962,Africa,lifeExp,34
Angola,1962,Africa,gdpPercap,4269.276742
Angola,1967,Africa,pop,5247469
Angola,1967,Africa,lifeExp,35.985
Angola,1967,Africa,gdpPercap,5522.776375
Angola,1972,Africa,pop,5894858
Angola,1972,Africa,lifeExp,37.928
Angola,1972,Africa,gdpPercap,5473.288005
Angola,1977,Africa,pop,6162675
Angola,1977,Africa,lifeExp,39.483
Angola,1977,Africa,gdpPercap,3008.647355
Angola,1982,Africa,pop,7016384
Angola,1982,Africa,lifeExp,39.942
Angola,1982,Africa,gdpPercap,2756.953672
Angola,1987,Africa,pop,7874230
Angola,1987,Africa,lifeExp,39.906
Angola,1987,Africa,gdpPercap,2430.208311
Angola,1992,Africa,pop,8735988
Angola,1992,Africa,lifeExp,40.647
Angola,1992,Africa,gdpPercap,2627.845685
Angola,1997,Africa,pop,9875024
Angola,1997,Africa,lifeExp,40.963
Angola,1997,Africa,gdpPercap,2277.140884
Angola,2002,Africa,pop,10866106
Angola,2002,Africa,lifeExp,41.003
Angola,2002,Africa,gdpPercap,2773.287312
Angola,2007,Africa,pop,12420476
Angola,2007,Africa,lifeExp,42.731
Angola,2007,Africa,gdpPercap,4797.231267
Argentina,1952,Americas,pop,17876956
Argentina,1952,Americas,lifeExp,62.485
Argentina,1952,Americas,gdpPercap,5911.315053
Argentina,1957,Americas,pop,19610538
Argentina,1957,Americas,lifeExp,64.399
Argentina,1957,Americas,gdpPercap,6856.856212
Argentina,1962,Americas,pop,21283783
Argentina,1962,Americas,lifeExp,65.142
Argentina,1962,Americas,gdpPercap,7133.166023
Argentina,1967,Americas,pop,22934225
Argentina,1967,Americas,lifeExp,65.634
Argentina,1967,Americas,gdpPercap,8052.953021
Argentina,1972,Americas,pop,24779799
Argentina,1972,Americas,lifeExp,67.065
Argentina,1972,Americas,gdpPercap,9443.038526
Argentina,1977,Americas,pop,26983828
Argentina,1977,Americas,lifeExp,68.481
Argentina,1977,Americas,gdpPercap,10079.02674
Argentina,1982,Americas,pop,29341374
Argentina,1982,Americas,lifeExp,69.942
Argentina,1982,Americas,gdpPercap,8997.897412
Argentina,1987,Americas,pop,31620918
Argentina,1987,Americas,lifeExp,70.774
Argentina,1987,Americas,gdpPercap,9139.671389
Argentina,1992,Americas,pop,33958947
Argentina,1992,Americas,lifeExp,71.868
Argentina,1992,Americas,gdpPercap,9308.41871
Argentina,1997,Americas,pop,36203463
Argentina,1997,Americas,lifeExp,73.275
Argentina,1997,Americas,gdpPercap,10967.28195
Argentina,2002,Americas,pop,38331121
Argentina,2002,Americas,lifeExp,74.34
Argentina,2002,Americas,gdpPercap,8797.640716
Argentina,2007,Americas,pop,40301927
Argentina,2007,Americas,lifeExp,75.32
Argentina,2007,Americas,gdpPercap,12779.37964
Australia,1952,Oceania,pop,8691212
Australia,1952,Oceania,lifeExp,69.12
Australia,1952,Oceania,gdpPercap,10039.59564
Australia,1957,Oceania,pop,9712569
Australia,1957,Oceania,lifeExp,70.33
Australia,1957,Oceania,gdpPercap,10949.64959
Australia,1962,Oceania,pop,10794968
Australia,1962,Oceania,lifeExp,70.93
Australia,1962,Oceania,gdpPercap,12217.22686
Australia,1967,Oceania,pop,11872264
Australia,1967,Oceania,lifeExp,71.1
Australia,1967,Oceania,gdpPercap,14526.12465
Australia,1972,Oceania,pop,13177000
Australia,1972,Oceania,lifeExp,71.93
Australia,1972,Oceania,gdpPercap,16788.62948
Australia,1977,Oceania,pop,14074100
Australia,1977,Oceania,lifeExp,73.49
Australia,1977,Oceania,gdpPercap,18334.19751
Australia,1982,Oceania,pop,15184200
Australia,1982,Oceania,lifeExp,74.74
Australia,1982,Oceania,gdpPercap,19477.00928
Australia,1987,Oceania,pop,16257249
Australia,1987,Oceania,lifeExp,76.32
Australia,1987,Oceania,gdpPercap,21888.88903
Australia,1992,Oceania,pop,17481977
Australia,1992,Oceania,lifeExp,77.56
Australia,1992,Oceania,gdpPercap,23424.76683
Australia,1997,Oceania,pop,18565243
Australia,1997,Oceania,lifeExp,78.83
Australia,1997,Oceania,gdpPercap,26997.93657
Australia,2002,Oceania,pop,19546792
Australia,2002,Oceania,lifeExp,80.37
Australia,2002,Oceania,gdpPercap,30687.75473
Australia,2007,Oceania,pop,20434176
Australia,2007,Oceania,lifeExp,81.235
Australia,2007,Oceania,gdpPercap,34435.36744
Austria,1952,Europe,pop,6927772
Austria,1952,Europe,lifeExp,66.8
Austria,1952,Europe,gdpPercap,6137.076492
Austria,1957,Europe,pop,6965860
Austria,1957,Europe,lifeExp,67.48
Austria,1957,Europe,gdpPercap,8842.59803
Austria,1962,Europe,pop,7129864
Austria,1962,Europe,lifeExp,69.54
Austria,1962,Europe,gdpPercap,10750.72111
Austria,1967,Europe,pop,7376998
Austria,1967,Europe,lifeExp,70.14
Austria,1967,Europe,gdpPercap,12834.6024
Austria,1972,Europe,pop,7544201
Austria,1972,Europe,lifeExp,70.63
Austria,1972,Europe,gdpPercap,16661.6256
Austria,1977,Europe,pop,7568430
Austria,1977,Europe,lifeExp,72.17
Austria,1977,Europe,gdpPercap,19749.4223
Austria,1982,Europe,pop,7574613
Austria,1982,Europe,lifeExp,73.18
Austria,1982,Europe,gdpPercap,21597.08362
Austria,1987,Europe,pop,7578903
Austria,1987,Europe,lifeExp,74.94
Austria,1987,Europe,gdpPercap,23687.82607
Austria,1992,Europe,pop,7914969
Austria,1992,Europe,lifeExp,76.04
Austria,1992,Europe,gdpPercap,27042.01868
Austria,1997,Europe,pop,8069876
Austria,1997,Europe,lifeExp,77.51
Austria,1997,Europe,gdpPercap,29095.92066
Austria,2002,Europe,pop,8148312
Austria,2002,Europe,lifeExp,78.98
Austria,2002,Europe,gdpPercap,32417.60769
Austria,2007,Europe,pop,8199783
Austria,2007,Europe,lifeExp,79.829
Austria,2007,Europe,gdpPercap,36126.4927
Bahrain,1952,Asia,pop,120447
Bahrain,1952,Asia,lifeExp,50.939
Bahrain,1952,Asia,gdpPercap,9867.084765
Bahrain,1957,Asia,pop,138655
Bahrain,1957,Asia,lifeExp,53.832
Bahrain,1957,Asia,gdpPercap,11635.79945
Bahrain,1962,Asia,pop,171863
Bahrain,1962,Asia,lifeExp,56.923
Bahrain,1962,Asia,gdpPercap,12753.27514
Bahrain,1967,Asia,pop,202182
Bahrain,1967,Asia,lifeExp,59.923
Bahrain,1967,Asia,gdpPercap,14804.6727
Bahrain,1972,Asia,pop,230800
Bahrain,1972,Asia,lifeExp,63.3
Bahrain,1972,Asia,gdpPercap,18268.65839
Bahrain,1977,Asia,pop,297410
Bahrain,1977,Asia,lifeExp,65.593
Bahrain,1977,Asia,gdpPercap,19340.10196
Bahrain,1982,Asia,pop,377967
Bahrain,1982,Asia,lifeExp,69.052
Bahrain,1982,Asia,gdpPercap,19211.14731
Bahrain,1987,Asia,pop,454612
Bahrain,1987,Asia,lifeExp,70.75
Bahrain,1987,Asia,gdpPercap,18524.02406
Bahrain,1992,Asia,pop,529491
Bahrain,1992,Asia,lifeExp,72.601
Bahrain,1992,Asia,gdpPercap,19035.57917
Bahrain,1997,Asia,pop,598561
Bahrain,1997,Asia,lifeExp,73.925
Bahrain,1997,Asia,gdpPercap,20292.01679
Bahrain,2002,Asia,pop,656397
Bahrain,2002,Asia,lifeExp,74.795
Bahrain,2002,Asia,gdpPercap,23403.55927
Bahrain,2007,Asia,pop,708573
Bahrain,2007,Asia,lifeExp,75.635
Bahrain,2007,Asia,gdpPercap,29796.04834
Bangladesh,1952,Asia,pop,46886859
Bangladesh,1952,Asia,lifeExp,37.484
Bangladesh,1952,Asia,gdpPercap,684.2441716
Bangladesh,1957,Asia,pop,51365468
Bangladesh,1957,Asia,lifeExp,39.348
Bangladesh,1957,Asia,gdpPercap,661.6374577
Bangladesh,1962,Asia,pop,56839289
Bangladesh,1962,Asia,lifeExp,41.216
Bangladesh,1962,Asia,gdpPercap,686.3415538
Bangladesh,1967,Asia,pop,62821884
Bangladesh,1967,Asia,lifeExp,43.453
Bangladesh,1967,Asia,gdpPercap,721.1860862
Bangladesh,1972,Asia,pop,70759295
Bangladesh,1972,Asia,lifeExp,45.252
Bangladesh,1972,Asia,gdpPercap,630.2336265
Bangladesh,1977,Asia,pop,80428306
Bangladesh,1977,Asia,lifeExp,46.923
Bangladesh,1977,Asia,gdpPercap,659.8772322
Bangladesh,1982,Asia,pop,93074406
Bangladesh,1982,Asia,lifeExp,50.009
Bangladesh,1982,Asia,gdpPercap,676.9818656
Bangladesh,1987,Asia,pop,103764241
Bangladesh,1987,Asia,lifeExp,52.819
Bangladesh,1987,Asia,gdpPercap,751.9794035
Bangladesh,1992,Asia,pop,113704579
Bangladesh,1992,Asia,lifeExp,56.018
Bangladesh,1992,Asia,gdpPercap,837.8101643
Bangladesh,1997,Asia,pop,123315288
Bangladesh,1997,Asia,lifeExp,59.412
Bangladesh,1997,Asia,gdpPercap,972.7700352
Bangladesh,2002,Asia,pop,135656790
Bangladesh,2002,Asia,lifeExp,62.013
Bangladesh,2002,Asia,gdpPercap,1136.39043
Bangladesh,2007,Asia,pop,150448339
Bangladesh,2007,Asia,lifeExp,64.062
Bangladesh,2007,Asia,gdpPercap,1391.253792
Belgium,1952,Europe,pop,8730405
Belgium,1952,Europe,lifeExp,68
Belgium,1952,Europe,gdpPercap,8343.105127
Belgium,1957,Europe,pop,8989111
Belgium,1957,Europe,lifeExp,69.24
Belgium,1957,Europe,gdpPercap,9714.960623
Belgium,1962,Europe,pop,9218400
Belgium,1962,Europe,lifeExp,70.25
Belgium,1962,Europe,gdpPercap,10991.20676
Belgium,1967,Europe,pop,9556500
Belgium,1967,Europe,lifeExp,70.94
Belgium,1967,Europe,gdpPercap,13149.04119
Belgium,1972,Europe,pop,9709100
Belgium,1972,Europe,lifeExp,71.44
Belgium,1972,Europe,gdpPercap,16672.14356
Belgium,1977,Europe,pop,9821800
Belgium,1977,Europe,lifeExp,72.8
Belgium,1977,Europe,gdpPercap,19117.97448
Belgium,1982,Europe,pop,9856303
Belgium,1982,Europe,lifeExp,73.93
Belgium,1982,Europe,gdpPercap,20979.84589
Belgium,1987,Europe,pop,9870200
Belgium,1987,Europe,lifeExp,75.35
Belgium,1987,Europe,gdpPercap,22525.56308
Belgium,1992,Europe,pop,10045622
Belgium,1992,Europe,lifeExp,76.46
Belgium,1992,Europe,gdpPercap,25575.57069
Belgium,1997,Europe,pop,10199787
Belgium,1997,Europe,lifeExp,77.53
Belgium,1997,Europe,gdpPercap,27561.19663
Belgium,2002,Europe,pop,10311970
Belgium,2002,Europe,lifeExp,78.32
Belgium,2002,Europe,gdpPercap,30485.88375
Belgium,2007,Europe,pop,10392226
Belgium,2007,Europe,lifeExp,79.441
Belgium,2007,Europe,gdpPercap,33692.60508
Benin,1952,Africa,pop,1738315
Benin,1952,Africa,lifeExp,38.223
Benin,1952,Africa,gdpPercap,1062.7522
Benin,1957,Africa,pop,1925173
Benin,1957,Africa,lifeExp,40.358
Benin,1957,Africa,gdpPercap,959.6010805
Benin,1962,Africa,pop,2151895
Benin,1962,Africa,lifeExp,42.618
Benin,1962,Africa,gdpPercap,949.4990641
Benin,1967,Africa,pop,2427334
Benin,1967,Africa,lifeExp,44.885
Benin,1967,Africa,gdpPercap,1035.831411
Benin,1972,Africa,pop,2761407
Benin,1972,Africa,lifeExp,47.014
Benin,1972,Africa,gdpPercap,1085.796879
Benin,1977,Africa,pop,3168267
Benin,1977,Africa,lifeExp,49.19
Benin,1977,Africa,gdpPercap,1029.161251
Benin,1982,Africa,pop,3641603
Benin,1982,Africa,lifeExp,50.904
Benin,1982,Africa,gdpPercap,1277.897616
Benin,1987,Africa,pop,4243788
Benin,1987,Africa,lifeExp,52.337
Benin,1987,Africa,gdpPercap,1225.85601
Benin,1992,Africa,pop,4981671
Benin,1992,Africa,lifeExp,53.919
Benin,1992,Africa,gdpPercap,1191.207681
Benin,1997,Africa,pop,6066080
Benin,1997,Africa,lifeExp,54.777
Benin,1997,Africa,gdpPercap,1232.975292
Benin,2002,Africa,pop,7026113
Benin,2002,Africa,lifeExp,54.406
Benin,2002,Africa,gdpPercap,1372.877931
Benin,2007,Africa,pop,8078314
Benin,2007,Africa,lifeExp,56.728
Benin,2007,Africa,gdpPercap,1441.284873
Bolivia,1952,Americas,pop,2883315
Bolivia,1952,Americas,lifeExp,40.414
Bolivia,1952,Americas,gdpPercap,2677.326347
Bolivia,1957,Americas,pop,3211738
Bolivia,1957,Americas,lifeExp,41.89
Bolivia,1957,Americas,gdpPercap,2127.686326
Bolivia,1962,Americas,pop,3593918
Bolivia,1962,Americas,lifeExp,43.428
Bolivia,1962,Americas,gdpPercap,2180.972546
Bolivia,1967,Americas,pop,4040665
Bolivia,1967,Americas,lifeExp,45.032
Bolivia,1967,Americas,gdpPercap,2586.886053
Bolivia,1972,Americas,pop,4565872
Bolivia,1972,Americas,lifeExp,46.714
Bolivia,1972,Americas,gdpPercap,2980.331339
Bolivia,1977,Americas,pop,5079716
Bolivia,1977,Americas,lifeExp,50.023
Bolivia,1977,Americas,gdpPercap,3548.097832
Bolivia,1982,Americas,pop,5642224
Bolivia,1982,Americas,lifeExp,53.859
Bolivia,1982,Americas,gdpPercap,3156.510452
Bolivia,1987,Americas,pop,6156369
Bolivia,1987,Americas,lifeExp,57.251
Bolivia,1987,Americas,gdpPercap,2753.69149
Bolivia,1992,Americas,pop,6893451
Bolivia,1992,Americas,lifeExp,59.957
Bolivia,1992,Americas,gdpPercap,2961.699694
Bolivia,1997,Americas,pop,7693188
Bolivia,1997,Americas,lifeExp,62.05
Bolivia,1997,Americas,gdpPercap,3326.143191
Bolivia,2002,Americas,pop,8445134
Bolivia,2002,Americas,lifeExp,63.883
Bolivia,2002,Americas,gdpPercap,3413.26269
Bolivia,2007,Americas,pop,9119152
Bolivia,2007,Americas,lifeExp,65.554
Bolivia,2007,Americas,gdpPercap,3822.137084
Bosnia and Herzegovina,1952,Europe,pop,2791000
Bosnia and Herzegovina,1952,Europe,lifeExp,53.82
Bosnia and Herzegovina,1952,Europe,gdpPercap,973.5331948
Bosnia and Herzegovina,1957,Europe,pop,3076000
Bosnia and Herzegovina,1957,Europe,lifeExp,58.45
Bosnia and Herzegovina,1957,Europe,gdpPercap,1353.989176
Bosnia and Herzegovina,1962,Europe,pop,3349000
Bosnia and Herzegovina,1962,Europe,lifeExp,61.93
Bosnia and Herzegovina,1962,Europe,gdpPercap,1709.683679
Bosnia and Herzegovina,1967,Europe,pop,3585000
Bosnia and Herzegovina,1967,Europe,lifeExp,64.79
Bosnia and Herzegovina,1967,Europe,gdpPercap,2172.352423
Bosnia and Herzegovina,1972,Europe,pop,3819000
Bosnia and Herzegovina,1972,Europe,lifeExp,67.45
Bosnia and Herzegovina,1972,Europe,gdpPercap,2860.16975
Bosnia and Herzegovina,1977,Europe,pop,4086000
Bosnia and Herzegovina,1977,Europe,lifeExp,69.86
Bosnia and Herzegovina,1977,Europe,gdpPercap,3528.481305
Bosnia and Herzegovina,1982,Europe,pop,4172693
Bosnia and Herzegovina,1982,Europe,lifeExp,70.69
Bosnia and Herzegovina,1982,Europe,gdpPercap,4126.613157
Bosnia and Herzegovina,1987,Europe,pop,4338977
Bosnia and Herzegovina,1987,Europe,lifeExp,71.14
Bosnia and Herzegovina,1987,Europe,gdpPercap,4314.114757
Bosnia and Herzegovina,1992,Europe,pop,4256013
Bosnia and Herzegovina,1992,Europe,lifeExp,72.178
Bosnia and Herzegovina,1992,Europe,gdpPercap,2546.781445
Bosnia and Herzegovina,1997,Europe,pop,3607000
Bosnia and Herzegovina,1997,Europe,lifeExp,73.244
Bosnia and Herzegovina,1997,Europe,gdpPercap,4766.355904
Bosnia and Herzegovina,2002,Europe,pop,4165416
Bosnia and Herzegovina,2002,Europe,lifeExp,74.09
Bosnia and Herzegovina,2002,Europe,gdpPercap,6018.975239
Bosnia and Herzegovina,2007,Europe,pop,4552198
Bosnia and Herzegovina,2007,Europe,lifeExp,74.852
Bosnia and Herzegovina,2007,Europe,gdpPercap,7446.298803
Botswana,1952,Africa,pop,442308
Botswana,1952,Africa,lifeExp,47.622
Botswana,1952,Africa,gdpPercap,851.2411407
Botswana,1957,Africa,pop,474639
Botswana,1957,Africa,lifeExp,49.618
Botswana,1957,Africa,gdpPercap,918.2325349
Botswana,1962,Africa,pop,512764
Botswana,1962,Africa,lifeExp,51.52
Botswana,1962,Africa,gdpPercap,983.6539764
Botswana,1967,Africa,pop,553541
Botswana,1967,Africa,lifeExp,53.298
Botswana,1967,Africa,gdpPercap,1214.709294
Botswana,1972,Africa,pop,619351
Botswana,1972,Africa,lifeExp,56.024
Botswana,1972,Africa,gdpPercap,2263.611114
Botswana,1977,Africa,pop,781472
Botswana,1977,Africa,lifeExp,59.319
Botswana,1977,Africa,gdpPercap,3214.857818
Botswana,1982,Africa,pop,970347
Botswana,1982,Africa,lifeExp,61.484
Botswana,1982,Africa,gdpPercap,4551.14215
Botswana,1987,Africa,pop,1151184
Botswana,1987,Africa,lifeExp,63.622
Botswana,1987,Africa,gdpPercap,6205.88385
Botswana,1992,Africa,pop,1342614
Botswana,1992,Africa,lifeExp,62.745
Botswana,1992,Africa,gdpPercap,7954.111645
Botswana,1997,Africa,pop,1536536
Botswana,1997,Africa,lifeExp,52.556
Botswana,1997,Africa,gdpPercap,8647.142313
Botswana,2002,Africa,pop,1630347
Botswana,2002,Africa,lifeExp,46.634
Botswana,2002,Africa,gdpPercap,11003.60508
Botswana,2007,Africa,pop,1639131
Botswana,2007,Africa,lifeExp,50.728
Botswana,2007,Africa,gdpPercap,12569.85177
Brazil,1952,Americas,pop,56602560
Brazil,1952,Americas,lifeExp,50.917
Brazil,1952,Americas,gdpPercap,2108.944355
Brazil,1957,Americas,pop,65551171
Brazil,1957,Americas,lifeExp,53.285
Brazil,1957,Americas,gdpPercap,2487.365989
Brazil,1962,Americas,pop,76039390
Brazil,1962,Americas,lifeExp,55.665
Brazil,1962,Americas,gdpPercap,3336.585802
Brazil,1967,Americas,pop,88049823
Brazil,1967,Americas,lifeExp,57.632
Brazil,1967,Americas,gdpPercap,3429.864357
Brazil,1972,Americas,pop,100840058
Brazil,1972,Americas,lifeExp,59.504
Brazil,1972,Americas,gdpPercap,4985.711467
Brazil,1977,Americas,pop,114313951
Brazil,1977,Americas,lifeExp,61.489
Brazil,1977,Americas,gdpPercap,6660.118654
Brazil,1982,Americas,pop,128962939
Brazil,1982,Americas,lifeExp,63.336
Brazil,1982,Americas,gdpPercap,7030.835878
Brazil,1987,Americas,pop,142938076
Brazil,1987,Americas,lifeExp,65.205
Brazil,1987,Americas,gdpPercap,7807.095818
Brazil,1992,Americas,pop,155975974
Brazil,1992,Americas,lifeExp,67.057
Brazil,1992,Americas,gdpPercap,6950.283021
Brazil,1997,Americas,pop,168546719
Brazil,1997,Americas,lifeExp,69.388
Brazil,1997,Americas,gdpPercap,7957.980824
Brazil,2002,Americas,pop,179914212
Brazil,2002,Americas,lifeExp,71.006
Brazil,2002,Americas,gdpPercap,8131.212843
Brazil,2007,Americas,pop,190010647
Brazil,2007,Americas,lifeExp,72.39
Brazil,2007,Americas,gdpPercap,9065.800825
Bulgaria,1952,Europe,pop,7274900
Bulgaria,1952,Europe,lifeExp,59.6
Bulgaria,1952,Europe,gdpPercap,2444.286648
Bulgaria,1957,Europe,pop,7651254
Bulgaria,1957,Europe,lifeExp,66.61
Bulgaria,1957,Europe,gdpPercap,3008.670727
Bulgaria,1962,Europe,pop,8012946
Bulgaria,1962,Europe,lifeExp,69.51
Bulgaria,1962,Europe,gdpPercap,4254.337839
Bulgaria,1967,Europe,pop,8310226
Bulgaria,1967,Europe,lifeExp,70.42
Bulgaria,1967,Europe,gdpPercap,5577.0028
Bulgaria,1972,Europe,pop,8576200
Bulgaria,1972,Europe,lifeExp,70.9
Bulgaria,1972,Europe,gdpPercap,6597.494398
Bulgaria,1977,Europe,pop,8797022
Bulgaria,1977,Europe,lifeExp,70.81
Bulgaria,1977,Europe,gdpPercap,7612.240438
Bulgaria,1982,Europe,pop,8892098
Bulgaria,1982,Europe,lifeExp,71.08
Bulgaria,1982,Europe,gdpPercap,8224.191647
Bulgaria,1987,Europe,pop,8971958
Bulgaria,1987,Europe,lifeExp,71.34
Bulgaria,1987,Europe,gdpPercap,8239.854824
Bulgaria,1992,Europe,pop,8658506
Bulgaria,1992,Europe,lifeExp,71.19
Bulgaria,1992,Europe,gdpPercap,6302.623438
Bulgaria,1997,Europe,pop,8066057
Bulgaria,1997,Europe,lifeExp,70.32
Bulgaria,1997,Europe,gdpPercap,5970.38876
Bulgaria,2002,Europe,pop,7661799
Bulgaria,2002,Europe,lifeExp,72.14
Bulgaria,2002,Europe,gdpPercap,7696.777725
Bulgaria,2007,Europe,pop,7322858
Bulgaria,2007,Europe,lifeExp,73.005
Bulgaria,2007,Europe,gdpPercap,10680.79282
Burkina Faso,1952,Africa,pop,4469979
Burkina Faso,1952,Africa,lifeExp,31.975
Burkina Faso,1952,Africa,gdpPercap,543.2552413
Burkina Faso,1957,Africa,pop,4713416
Burkina Faso,1957,Africa,lifeExp,34.906
Burkina Faso,1957,Africa,gdpPercap,617.1834648
Burkina Faso,1962,Africa,pop,4919632
Burkina Faso,1962,Africa,lifeExp,37.814
Burkina Faso,1962,Africa,gdpPercap,722.5120206
Burkina Faso,1967,Africa,pop,5127935
Burkina Faso,1967,Africa,lifeExp,40.697
Burkina Faso,1967,Africa,gdpPercap,794.8265597
Burkina Faso,1972,Africa,pop,5433886
Burkina Faso,1972,Africa,lifeExp,43.591
Burkina Faso,1972,Africa,gdpPercap,854.7359763
Burkina Faso,1977,Africa,pop,5889574
Burkina Faso,1977,Africa,lifeExp,46.137
Burkina Faso,1977,Africa,gdpPercap,743.3870368
Burkina Faso,1982,Africa,pop,6634596
Burkina Faso,1982,Africa,lifeExp,48.122
Burkina Faso,1982,Africa,gdpPercap,807.1985855
Burkina Faso,1987,Africa,pop,7586551
Burkina Faso,1987,Africa,lifeExp,49.557
Burkina Faso,1987,Africa,gdpPercap,912.0631417
Burkina Faso,1992,Africa,pop,8878303
Burkina Faso,1992,Africa,lifeExp,50.26
Burkina Faso,1992,Africa,gdpPercap,931.7527731
Burkina Faso,1997,Africa,pop,10352843
Burkina Faso,1997,Africa,lifeExp,50.324
Burkina Faso,1997,Africa,gdpPercap,946.2949618
Burkina Faso,2002,Africa,pop,12251209
Burkina Faso,2002,Africa,lifeExp,50.65
Burkina Faso,2002,Africa,gdpPercap,1037.645221
Burkina Faso,2007,Africa,pop,14326203
Burkina Faso,2007,Africa,lifeExp,52.295
Burkina Faso,2007,Africa,gdpPercap,1217.032994
